transaction_id,date,time,description,payee,amount,channel
TXN-A-0031,2024-01-28,10:04:38,Monthly rent,Landlord,60.0,UPI
TXN-A-0032,2024-02-01,11:25:07,Grocery purchase,Supermarket,72.78,card
TXN-A-0033,2024-02-01,17:02:39,Monthly rent,Landlord,60.0,UPI
TXN-A-0034,2024-02-02,17:36:33,Grocery purchase,Supermarket,30.0,UPI
TXN-A-0035,2024-02-02,11:42:45,Transit fare,Metro_Transit,25.0,netbanking
TXN-A-0036,2024-02-02,14:08:42,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0037,2024-02-04,13:59:48,Internet subscription,ISP,48.13,UPI
TXN-A-0038,2024-02-04,17:36:06,Grocery purchase,Supermarket,30.0,UPI
TXN-A-0039,2024-02-05,16:16:08,Grocery purchase,Supermarket,30.0,UPI
TXN-A-0040,2024-02-05,11:23:18,Transit fare,Metro_Transit,25.0,card
TXN-A-0041,2024-02-06,16:45:19,Monthly utility bill,Electric_Corp,56.08,UPI
TXN-A-0042,2024-02-08,20:41:33,Monthly rent,Landlord,60.0,netbanking
TXN-A-0043,2024-02-10,16:19:59,Grocery purchase,Supermarket,43.27,card
TXN-A-0044,2024-02-10,10:16:07,Internet subscription,ISP,40.48,UPI
TXN-A-0045,2024-02-10,10:17:18,Grocery purchase,Supermarket,30.0,card
TXN-A-0046,2024-02-11,13:13:43,Monthly rent,Landlord,60.0,UPI
TXN-A-0047,2024-02-11,16:31:16,Internet subscription,ISP,38.09,card
TXN-A-0048,2024-02-11,14:53:17,Grocery purchase,Supermarket,60.86,UPI
TXN-A-0049,2024-02-11,20:08:40,Grocery purchase,Supermarket,50.15,UPI
TXN-A-0050,2024-02-12,15:35:45,Transit fare,Metro_Transit,18.55,UPI
TXN-A-0051,2024-02-14,09:04:56,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0052,2024-02-16,16:02:53,Internet subscription,ISP,39.22,netbanking
TXN-A-0053,2024-02-17,10:27:08,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0054,2024-02-18,20:55:02,Grocery purchase,Supermarket,54.18,UPI
TXN-A-0055,2024-02-18,11:42:06,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0056,2024-02-18,14:39:47,Transit fare,Metro_Transit,25.0,card
TXN-A-0057,2024-02-19,11:55:10,Monthly utility bill,Electric_Corp,40.0,netbanking
TXN-A-0058,2024-02-21,08:11:47,Monthly utility bill,Electric_Corp,40.36,card
TXN-A-0059,2024-02-22,14:51:42,Transit fare,Metro_Transit,25.0,card
TXN-A-0060,2024-02-26,12:10:50,Internet subscription,ISP,55.0,card
TXN-A-0061,2024-02-26,08:54:30,Internet subscription,ISP,37.81,UPI
TXN-A-0062,2024-02-28,15:22:19,Monthly utility bill,Electric_Corp,42.22,UPI
TXN-A-0063,2024-02-28,18:12:25,Monthly utility bill,Electric_Corp,40.0,UPI
TXN-A-0064,2024-02-28,09:49:17,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0065,2024-03-01,14:43:53,Transit fare,Metro_Transit,25.0,card
TXN-A-0066,2024-03-02,08:07:56,Monthly rent,Landlord,65.34,UPI
TXN-A-0067,2024-03-05,12:02:06,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0068,2024-03-05,19:50:20,Monthly rent,Landlord,60.05,UPI
TXN-A-0069,2024-03-07,16:07:24,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0070,2024-03-10,08:45:27,Monthly rent,Landlord,60.0,UPI
TXN-A-0071,2024-03-11,20:34:43,Grocery purchase,Supermarket,50.42,UPI
TXN-A-0072,2024-03-13,19:42:12,Internet subscription,ISP,55.0,netbanking
TXN-A-0073,2024-03-15,18:58:21,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0074,2024-03-17,09:46:57,Monthly rent,Landlord,68.47,UPI
TXN-A-0075,2024-03-18,18:26:20,Transit fare,Metro_Transit,8.0,UPI
TXN-A-0076,2024-03-18,16:08:12,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0077,2024-03-21,14:43:47,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0078,2024-03-22,12:25:35,Monthly utility bill,Electric_Corp,40.51,card
TXN-A-0079,2024-03-22,11:27:50,Grocery purchase,Supermarket,46.38,UPI
TXN-A-0080,2024-03-23,13:29:28,Monthly rent,Landlord,60.0,card
TXN-A-0081,2024-03-23,16:30:50,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0082,2024-03-23,09:18:32,Internet subscription,ISP,50.36,UPI
TXN-A-0083,2024-03-24,13:05:52,Internet subscription,ISP,55.0,card
TXN-A-0084,2024-03-25,11:51:12,Monthly utility bill,Electric_Corp,40.0,card
TXN-A-0085,2024-03-25,11:30:39,Monthly utility bill,Electric_Corp,40.0,UPI
TXN-A-0086,2024-03-26,18:36:12,Grocery purchase,Supermarket,37.47,UPI
TXN-A-0087,2024-03-26,15:25:15,Internet subscription,ISP,55.0,card
TXN-A-0088,2024-03-29,08:57:48,Monthly utility bill,Electric_Corp,49.93,card
TXN-A-0089,2024-03-30,11:11:51,Grocery purchase,Supermarket,37.05,card
TXN-A-0090,2024-03-30,08:35:15,Internet subscription,ISP,52.7,UPI
TXN-A-0091,2024-04-02,20:29:42,Grocery purchase,Supermarket,46.46,UPI
TXN-A-0092,2024-04-02,17:20:48,Monthly rent,Landlord,60.0,netbanking
TXN-A-0093,2024-04-02,19:57:32,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0094,2024-04-04,16:28:57,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0095,2024-04-05,15:28:16,Monthly utility bill,Electric_Corp,40.0,card
TXN-A-0096,2024-04-06,12:49:49,Monthly utility bill,Electric_Corp,40.0,card
TXN-A-0097,2024-04-07,11:17:28,Monthly rent,Landlord,60.0,UPI
TXN-A-0098,2024-04-07,11:17:21,Grocery purchase,Supermarket,48.92,card
TXN-A-0099,2024-04-07,09:08:09,Transit fare,Metro_Transit,25.0,card
TXN-A-0100,2024-04-08,10:45:13,Monthly utility bill,Electric_Corp,41.48,UPI
TXN-A-0101,2024-04-09,13:34:29,Grocery purchase,Supermarket,30.0,UPI
TXN-A-0102,2024-04-09,14:24:57,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0103,2024-04-13,08:54:56,Monthly rent,Landlord,60.0,netbanking
TXN-A-0104,2024-04-14,08:22:19,Monthly rent,Landlord,60.0,UPI
TXN-A-0105,2024-04-16,14:34:47,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0106,2024-04-17,17:57:14,Internet subscription,ISP,51.06,UPI
TXN-A-0107,2024-04-19,14:31:01,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0108,2024-04-21,18:51:25,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0109,2024-04-21,15:58:08,Internet subscription,ISP,48.86,UPI
TXN-A-0110,2024-04-21,14:37:36,Monthly rent,Landlord,60.0,UPI
TXN-A-0111,2024-04-25,18:27:08,Internet subscription,ISP,30.0,UPI
TXN-A-0112,2024-04-26,12:24:20,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0113,2024-04-26,13:48:56,Monthly utility bill,Electric_Corp,45.9,UPI
TXN-A-0114,2024-04-28,14:16:53,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0115,2024-04-28,19:34:03,Grocery purchase,Supermarket,42.11,UPI
TXN-A-0116,2024-04-30,09:49:41,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0117,2024-05-02,11:12:53,Grocery purchase,Supermarket,44.48,card
TXN-A-0118,2024-05-02,11:08:30,Grocery purchase,Supermarket,30.0,card
TXN-A-0119,2024-05-03,11:29:44,Internet subscription,ISP,55.0,UPI
TXN-A-0120,2024-05-06,10:38:38,Transit fare,Metro_Transit,25.0,card
TXN-A-0121,2024-05-06,20:52:10,Internet subscription,ISP,55.0,card
TXN-A-0122,2024-05-08,08:59:19,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0123,2024-05-08,14:25:45,Monthly rent,Landlord,66.04,card
TXN-A-0124,2024-05-10,19:53:40,Monthly utility bill,Electric_Corp,40.0,UPI
TXN-A-0125,2024-05-11,20:19:54,Monthly utility bill,Electric_Corp,53.8,UPI
TXN-A-0126,2024-05-12,09:50:36,Internet subscription,ISP,55.0,card
TXN-A-0127,2024-05-12,14:42:23,Grocery purchase,Supermarket,30.14,UPI
TXN-A-0128,2024-05-13,13:00:54,Grocery purchase,Supermarket,36.51,UPI
TXN-A-0129,2024-05-13,09:27:23,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0130,2024-05-13,15:45:09,Internet subscription,ISP,37.45,card
TXN-A-0131,2024-05-13,16:41:17,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0132,2024-05-16,16:49:30,Monthly rent,Landlord,60.0,card
TXN-A-0133,2024-05-18,19:37:17,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0134,2024-05-19,09:17:56,Transit fare,Metro_Transit,25.0,card
TXN-A-0135,2024-05-21,15:36:39,Coffee and snack,Corner_Cafe,20.0,UPI
TXN-A-0136,2024-05-22,08:31:54,Internet subscription,ISP,55.0,UPI
TXN-A-0137,2024-05-23,11:22:51,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0138,2024-05-23,17:44:56,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0139,2024-05-25,16:12:05,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0140,2024-05-25,15:35:48,Monthly utility bill,Electric_Corp,40.0,card
TXN-A-0141,2024-05-27,18:45:31,Monthly utility bill,Electric_Corp,48.41,card
TXN-A-0142,2024-05-27,09:18:14,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0143,2024-05-30,12:42:37,Coffee and snack,Corner_Cafe,20.0,card
TXN-A-0144,2024-05-31,16:22:27,Transit fare,Metro_Transit,25.0,UPI
TXN-A-0145,2024-05-31,13:44:29,Internet subscription,ISP,48.9,UPI
TXN-A-0146,2024-05-31,11:07:46,Transit fare,Metro_Transit,25.0,UPI
